num,full,hebrew,english
11,בְּבוֹא כׇל־יִשְׂרָאֵל לֵרָאוֹת אֶת־פְּנֵי יְהֹוָה אֱלֹהֶיךָ בַּמָּקוֹם אֲשֶׁר יִבְחָר תִּקְרָא אֶת־הַתּוֹרָה הַזֹּאת נֶגֶד כׇּל־יִשְׂרָאֵל בְּאׇזְנֵיהֶם׃,בְּבוֹא כׇל־יִשְׂרָאֵל לֵרָאוֹת אֶת־פְּנֵי יְהֹוָה אֱלֹהֶיךָ,When all Israel comes to appear before Hashem your God
11,,בַּמָּקוֹם אֲשֶׁר יִבְחָר,in the place He will choose
11,,תִּקְרָא אֶת־הַתּוֹרָה הַזֹּאת,you shall read this Torah
11,,נֶגֶד כׇּל־יִשְׂרָאֵל בְּאׇזְנֵיהֶם,before all Israel in their ears
12,הַקְהֵל אֶת־הָעָם הָאֲנָשִׁים וְהַנָּשִׁים וְהַטַּף וְגֵרְךָ אֲשֶׁר בִּשְׁעָרֶיךָ לְמַעַן יִשְׁמְעוּ וּלְמַעַן יִלְמְדוּ וְיָרְאוּ אֶת־יְהֹוָה אֱלֹהֵיכֶם וְשָׁמְרוּ לַעֲשׂוֹת אֶת־כׇּל־דִּבְרֵי הַתּוֹרָה הַזֹּאת׃,הַקְהֵל אֶת־הָעָם,Gather the people
12,,הָאֲנָשִׁים וְהַנָּשִׁים וְהַטַּף,"the men, women, and children"
12,,וְגֵרְךָ אֲשֶׁר בִּשְׁעָרֶיךָ,and your stranger in your gates
12,,לְמַעַן יִשְׁמְעוּ וּלְמַעַן יִלְמְדוּ,so that they hear and learn
12,,וְיָרְאוּ אֶת־יְהֹוָה אֱלֹהֵיכֶם,and fear Hashem your God
12,,וְשָׁמְרוּ לַעֲשׂוֹת אֶת־כׇּל־דִּבְרֵי הַתּוֹרָה הַזֹּאת,and keep to do all the words of this Torah
13,וּבְנֵיהֶם אֲשֶׁר לֹא־יָדְעוּ יִשְׁמְעוּ וְלָמְדוּ לְיִרְאָה אֶת־יְהֹוָה אֱלֹהֵיכֶם כׇּל־הַיָּמִים אֲשֶׁר אַתֶּם חַיִּים עַל־הָאֲדָמָה אֲשֶׁר אַתֶּם עֹבְרִים אֶת־הַיַּרְדֵּן שָׁמָּה לְרִשְׁתָּהּ׃,וּבְנֵיהֶם אֲשֶׁר לֹא־יָדְעוּ,And their children who did not know
13,,יִשְׁמְעוּ וְלָמְדוּ,will hear and learn
13,,לְיִרְאָה אֶת־יְהֹוָה אֱלֹהֵיכֶם,to fear Hashem your God
13,,כׇּל־הַיָּמִים אֲשֶׁר אַתֶּם חַיִּים עַל־הָאֲדָמָה,all the days you live on the land
13,,אֲשֶׁר אַתֶּם עֹבְרִים אֶת־הַיַּרְדֵּן שָׁמָּה לְרִשְׁתָּהּ,which you are crossing the Jordan to possess
14,וַיֹּאמֶר יְהֹוָה אֶל־מֹשֶׁה הֵן קָרְבוּ יָמֶיךָ לָמוּת קְרָא אֶת־יְהוֹשֻׁעַ וְהִתְיַצְּבוּ בְּאֹהֶל מוֹעֵד וַאֲצַוֶּנּוּ וַיֵּלֶךְ מֹשֶׁה וִיהוֹשֻׁעַ וַיִּתְיַצְּבוּ בְּאֹהֶל מוֹעֵד׃,וַיֹּאמֶר יְהֹוָה אֶל־מֹשֶׁה,And Hashem said to Moshe
14,,הֵן קָרְבוּ יָמֶיךָ לָמוּת,"behold, your days draw near to die"
14,,קְרָא אֶת־יְהוֹשֻׁעַ,call Yehoshua
14,,וְהִתְיַצְּבוּ בְּאֹהֶל מוֹעֵד,and stand in the Tent of Meeting
14,,וַאֲצַוֶּנּוּ,and I will command him
14,,וַיֵּלֶךְ מֹשֶׁה וִיהוֹשֻׁעַ,And Moshe and Yehoshua went
14,,וַיִּתְיַצְּבוּ בְּאֹהֶל מוֹעֵד,and stood in the Tent of Meeting
15,וַיֵּרָא יְהֹוָה בָּאֹהֶל בְּעַמּוּד עָנָן וַיַּעֲמֹד עַמּוּד הֶעָנָן עַל־פֶּתַח הָאֹהֶל׃,וַיֵּרָא יְהֹוָה בָּאֹהֶל,And Hashem appeared in the Tent
15,,בְּעַמּוּד עָנָן,in a pillar of cloud
15,,וַיַּעֲמֹד עַמּוּד הֶעָנָן,and the pillar of cloud stood
15,,עַל־פֶּתַח הָאֹהֶל,at the entrance of the Tent
16,וַיֹּאמֶר יְהֹוָה אֶל־מֹשֶׁה הִנְּךָ שֹׁכֵב עִם־אֲבֹתֶיךָ וְקָם הָעָם הַזֶּה וְזָנָה אַחֲרֵי אֱלֹהֵי נֵכַר־הָאָרֶץ אֲשֶׁר הוּא בָא־שָׁמָּה בְּקִרְבּוֹ וַעֲזָבַנִי וְהֵפֵר אֶת־בְּרִיתִי אֲשֶׁר כָּרַתִּי אִתּוֹ׃,וַיֹּאמֶר יְהֹוָה אֶל־מֹשֶׁה,And Hashem said to Moshe
16,,הִנְּךָ שֹׁכֵב עִם־אֲבֹתֶיךָ,"behold, you will lie with your fathers"
16,,וְקָם הָעָם הַזֶּה וְזָנָה,and this people will rise and stray
16,,אַחֲרֵי אֱלֹהֵי נֵכַר־הָאָרֶץ,after the foreign gods of the land
16,,וַעֲזָבַנִי,and abandon Me
16,,וְהֵפֵר אֶת־בְּרִיתִי אֲשֶׁר כָּרַתִּי אִתּוֹ,and break My covenant that I made with him
17,וְחָרָה אַפִּי בוֹ בַיּוֹם־הַהוּא וַעֲזַבְתִּים וְהִסְתַּרְתִּי פָנַי מֵהֶם וְהָיָה לֶאֱכֹל וּמְצָאֻהוּ רָעוֹת רַבּוֹת וְצָרוֹת וְאָמַר בַּיּוֹם הַהוּא הֲלֹא עַל כִּי־אֵין אֱלֹהַי בְּקִרְבִּי מְצָאוּנִי הָרָעוֹת הָאֵלֶּה׃,וְחָרָה אַפִּי בוֹ בַיּוֹם־הַהוּא,And My anger will burn against him on that day
17,,וַעֲזַבְתִּים,and I will abandon them
17,,וְהִסְתַּרְתִּי פָנַי מֵהֶם,and hide My face from them
17,,וְהָיָה לֶאֱכֹל,and they will be devoured
17,,וּמְצָאֻהוּ רָעוֹת רַבּוֹת וְצָרוֹת,and many evils and troubles will find them
17,,וְאָמַר בַּיּוֹם הַהוּא,and he will say on that day
17,,הֲלֹא עַל כִּי־אֵין אֱלֹהַי בְּקִרְבִּי מְצָאוּנִי הָרָעוֹת הָאֵלֶּה,is it not because my God is not among me that these evils found me
18,וְאָנֹכִי הַסְתֵּר אַסְתִּיר פָּנַי בַּיּוֹם הַהוּא עַל כׇּל־הָרָעָה אֲשֶׁר עָשָׂה כִּי פָנָה אֶל־אֱלֹהִים אֲחֵרִים׃,וְאָנֹכִי הַסְתֵּר אַסְתִּיר פָּנַי בַּיּוֹם הַהוּא,And I will surely hide My face on that day
18,,עַל כׇּל־הָרָעָה אֲשֶׁר עָשָׂה,for all the evil that he did
18,,כִּי פָנָה אֶל־אֱלֹהִים אֲחֵרִים,because he turned to other gods
19,וְעַתָּה כִּתְבוּ לָכֶם אֶת־הַשִּׁירָה הַזֹּאת וְלַמְּדָהּ אֶת־בְּנֵי־יִשְׂרָאֵל שִׂימָהּ בְּפִיהֶם לְמַעַן תִּהְיֶה־לִּי הַשִּׁירָה הַזֹּאת לְעֵד בִּבְנֵי יִשְׂרָאֵל׃,וְעַתָּה כִּתְבוּ לָכֶם אֶת־הַשִּׁירָה הַזֹּאת,Now write this song for yourselves
19,,וְלַמְּדָהּ אֶת־בְּנֵי־יִשְׂרָאֵל,and teach it to Bnei Yisrael
19,,שִׂימָהּ בְּפִיהֶם,put it in their mouths
19,,לְמַעַן תִּהְיֶה־לִּי הַשִּׁירָה הַזֹּאת לְעֵד בִּבְנֵי יִשְׂרָאֵל,so that this song will be a witness for Me among Bnei Yisrael
20,כִּי־אֲבִיאֶנּוּ אֶל־הָאֲדָמָה אֲשֶׁר־נִשְׁבַּעְתִּי לַאֲבֹתָיו זָבַת חָלָב וּדְבַשׁ וְאָכַל וְשָׂבַע וְדָשֵׁן וּפָנָה אֶל־אֱלֹהִים אֲחֵרִים וַעֲבָדוּם וְנִאֲצוּנִי וְהֵפֵר אֶת־בְּרִיתִי׃,כִּי־אֲבִיאֶנּוּ אֶל־הָאֲדָמָה אֲשֶׁר־נִשְׁבַּעְתִּי לַאֲבֹתָיו,When I bring him to the land I swore to his fathers
20,,זָבַת חָלָב וּדְבַשׁ,flowing with milk and honey
20,,וְאָכַל וְשָׂבַע וְדָשֵׁן,and he eats and is full and grows fat
20,,וּפָנָה אֶל־אֱלֹהִים אֲחֵרִים וַעֲבָדוּם,and turns to other gods and serves them
20,,וְנִאֲצוּנִי וְהֵפֵר אֶת־בְּרִיתִי,and angers Me and breaks My covenant
21,וְהָיָה כִּי־תִמְצֶאןָ אֹתוֹ רָעוֹת רַבּוֹת וְצָרוֹת וְעָנְתָה הַשִּׁירָה הַזֹּאת לְפָנָיו לְעֵד כִּי לֹא תִשָּׁכַח מִפִּי זַרְעוֹ כִּי יָדַעְתִּי אֶת־יִצְרוֹ אֲשֶׁר הוּא עֹשֶׂה הַיּוֹם בְּטֶרֶם אֲבִיאֶנּוּ אֶל־הָאָרֶץ אֲשֶׁר נִשְׁבַּעְתִּי׃,וְהָיָה כִּי־תִמְצֶאןָ אֹתוֹ רָעוֹת רַבּוֹת וְצָרוֹת,And when many evils and troubles find him
21,,וְעָנְתָה הַשִּׁירָה הַזֹּאת לְפָנָיו לְעֵד,this song will answer before him as a witness
21,,כִּי לֹא תִשָּׁכַח מִפִּי זַרְעוֹ,for it will not be forgotten from the mouth of his offspring
21,,כִּי יָדַעְתִּי אֶת־יִצְרוֹ אֲשֶׁר הוּא עֹשֶׂה הַיּוֹם,for I know his inclination that he does today
21,,בְּטֶרֶם אֲבִיאֶנּוּ אֶל־הָאָרֶץ אֲשֶׁר נִשְׁבַּעְתִּי,before I bring him to the land I swore
22,וַיִּכְתֹּב מֹשֶׁה אֶת־הַשִּׁירָה הַזֹּאת בַּיּוֹם הַהוּא וַיְלַמְּדָהּ אֶת־בְּנֵי יִשְׂרָאֵל׃,וַיִּכְתֹּב מֹשֶׁה אֶת־הַשִּׁירָה הַזֹּאת בַּיּוֹם הַהוּא,And Moshe wrote this song on that day
22,,וַיְלַמְּדָהּ אֶת־בְּנֵי יִשְׂרָאֵל,and taught it to Bnei Yisrael
23,וַיְצַו אֶת־יְהוֹשֻׁעַ בִּן־נוּן וַיֹּאמֶר חֲזַק וֶאֱמָץ כִּי אַתָּה תָּבִיא אֶת־בְּנֵי יִשְׂרָאֵל אֶל־הָאָרֶץ אֲשֶׁר־נִשְׁבַּעְתִּי לָהֶם וְאָנֹכִי אֶהְיֶה עִמָּךְ׃,וַיְצַו אֶת־יְהוֹשֻׁעַ בִּן־נוּן,And he commanded Yehoshua bin Nun
23,,וַיֹּאמֶר חֲזַק וֶאֱמָץ,and said: be strong and brave
23,,כִּי אַתָּה תָּבִיא אֶת־בְּנֵי יִשְׂרָאֵל אֶל־הָאָרֶץ אֲשֶׁר־נִשְׁבַּעְתִּי לָהֶם,for you will bring Bnei Yisrael to the land I swore to them
23,,וְאָנֹכִי אֶהְיֶה עִמָּךְ,and I will be with you
24,וַיְהִי כְּכַלּוֹת מֹשֶׁה לִכְתֹּב אֶת־דִּבְרֵי הַתּוֹרָה־הַזֹּאת עַל־סֵפֶר עַד תֻּמָּם׃,וַיְהִי כְּכַלּוֹת מֹשֶׁה,When Moshe finished
24,,לִכְתֹּב אֶת־דִּבְרֵי הַתּוֹרָה־הַזֹּאת,writing the words of this Torah
24,,עַל־סֵפֶר עַד תֻּמָּם,"on a scroll, until they were complete"
25,וַיְצַו מֹשֶׁה אֶת־הַלְוִיִּם נֹשְׂאֵי אֲרוֹן בְּרִית־יְהֹוָה לֵאמֹר׃,וַיְצַו מֹשֶׁה אֶת־הַלְוִיִּם,And Moshe commanded the Levi'im
25,,נֹשְׂאֵי אֲרוֹן בְּרִית־יְהֹוָה,who carry the Aron of Hashem's covenant
25,,לֵאמֹר,saying
26,לָקֹחַ אֵת סֵפֶר הַתּוֹרָה הַזֶּה וְשַׂמְתֶּם אֹתוֹ מִצַּד אֲרוֹן בְּרִית־יְהֹוָה אֱלֹהֵיכֶם וְהָיָה־שָׁם בְּךָ לְעֵד׃,לָקֹחַ אֵת סֵפֶר הַתּוֹרָה הַזֶּה,Take this Torah scroll
26,,וְשַׂמְתֶּם אֹתוֹ מִצַּד אֲרוֹן בְּרִית־יְהֹוָה אֱלֹהֵיכֶם,and place it beside the Aron of Hashem your God's covenant
26,,וְהָיָה־שָׁם בְּךָ לְעֵד,and it will be there as a witness against you
27,כִּי אָנֹכִי יָדַעְתִּי אֶת־מֶרְיְךָ וְאֶת־עׇרְפְּךָ הַקָּשֶׁה הֵן בְּעוֹדֶנִּי חַי עִמָּכֶם הַיּוֹם מַמְרִים הֱיִתֶם עִם־יְהֹוָה וְאַף כִּי־אַחֲרֵי מוֹתִי׃,כִּי אָנֹכִי יָדַעְתִּי אֶת־מֶרְיְךָ,For I know your rebelliousness
27,,וְאֶת־עׇרְפְּךָ הַקָּשֶׁה,and your stiff neck
27,,הֵן בְּעוֹדֶנִּי חַי עִמָּכֶם הַיּוֹם,"behold, while I am still alive with you today"
27,,מַמְרִים הֱיִתֶם עִם־יְהֹוָה,you have been rebellious with Hashem
27,,וְאַף כִּי־אַחֲרֵי מוֹתִי,how much more after my death
28,הַקְהִילוּ אֵלַי אֶת־כׇּל־זִקְנֵי שִׁבְטֵיכֶם וְשֹׁטְרֵיכֶם וַאֲדַבְּרָה בְאׇזְנֵיהֶם אֵת הַדְּבָרִים הָאֵלֶּה וְאָעִידָה בָּם אֶת־הַשָּׁמַיִם וְאֶת־הָאָרֶץ׃,הַקְהִילוּ אֵלַי אֶת־כׇּל־זִקְנֵי שִׁבְטֵיכֶם וְשֹׁטְרֵיכֶם,Gather to me all the elders of your tribes and officers
28,,וַאֲדַבְּרָה בְאׇזְנֵיהֶם אֵת הַדְּבָרִים הָאֵלֶּה,and I will speak these words in their ears
28,,וְאָעִידָה בָּם אֶת־הַשָּׁמַיִם וְאֶת־הָאָרֶץ,and call heaven and earth as witnesses against them
29,כִּי יָדַעְתִּי אַחֲרֵי מוֹתִי כִּי־הַשְׁחֵת תַּשְׁחִתוּן וְסַרְתֶּם מִן־הַדֶּרֶךְ אֲשֶׁר צִוִּיתִי אֶתְכֶם וְקָרָאת אֶתְכֶם הָרָעָה בְּאַחֲרִית הַיָּמִים כִּי־תַעֲשׂוּ אֶת־הָרַע בְּעֵינֵי יְהֹוָה לְהַכְעִיסוֹ בְּמַעֲשֵׂה יְדֵיכֶם׃,כִּי יָדַעְתִּי אַחֲרֵי מוֹתִי,For I know that after my death
29,,כִּי־הַשְׁחֵת תַּשְׁחִתוּן,you will surely act corruptly
29,,וְסַרְתֶּם מִן־הַדֶּרֶךְ אֲשֶׁר צִוִּיתִי אֶתְכֶם,and turn from the way I commanded you
29,,וְקָרָאת אֶתְכֶם הָרָעָה בְּאַחֲרִית הַיָּמִים,and evil will befall you at the end of days
29,,כִּי־תַעֲשׂוּ אֶת־הָרַע בְּעֵינֵי יְהֹוָה,when you do evil in Hashem's eyes
30,וַיְדַבֵּר מֹשֶׁה בְּאׇזְנֵי כׇּל־קְהַל יִשְׂרָאֵל אֶת־דִּבְרֵי הַשִּׁירָה הַזֹּאת עַד תֻּמָּם׃,וַיְדַבֵּר מֹשֶׁה בְּאׇזְנֵי כׇּל־קְהַל יִשְׂרָאֵל,And Moshe spoke in the ears of all the assembly of Israel
30,,אֶת־דִּבְרֵי הַשִּׁירָה הַזֹּאת,the words of this song
30,,עַד תֻּמָּם,until they were complete
